timestamp,frame_time_ms,memory_bytes,memory_mb,throughput_msg_sec,cache_hit_rate,avg_hop_count,messages_sent
3.551,13.060,1004490752,957.96,1000.04,0.0000,0.00,3571
3.565,13.235,1004490752,957.96,1000.04,0.0000,0.00,3584
3.580,14.922,1004490752,957.96,1000.04,0.0000,0.00,3599
3.594,14.042,1004490752,957.96,1000.04,0.0000,0.00,3613
3.606,12.427,1004490752,957.96,1000.04,0.0000,0.00,3626
3.619,13.215,1004490752,957.96,1000.04,0.0000,0.00,3639
3.632,13.077,1004490752,957.96,1000.04,0.0000,0.00,3652
3.646,13.718,1004490752,957.96,1000.04,0.0000,0.00,3666
3.659,13.282,1004490752,957.96,1000.04,0.0000,0.00,3679
3.673,13.373,1004490752,957.96,1000.04,0.0000,0.00,3692
3.686,13.226,1004490752,957.96,1000.04,0.0000,0.00,3705
3.700,14.579,1004490752,957.96,1000.04,0.0000,0.00,3720
3.715,14.138,1004490752,957.96,1000.04,0.0000,0.00,3734
3.727,12.630,1004490752,957.96,1000.04,0.0000,0.00,3747
3.740,13.055,1004490752,957.96,1000.04,0.0000,0.00,3760
3.754,13.424,1004490752,957.96,1000.04,0.0000,0.00,3773
3.767,13.513,1004490752,957.96,1000.04,0.0000,0.00,3787
3.781,13.641,1004490752,957.96,1000.04,0.0000,0.00,3800
3.795,14.138,1004490752,957.96,1000.04,0.0000,0.00,3815
3.808,13.323,1004490752,957.96,1000.04,0.0000,0.00,3828
3.822,13.340,1004490752,957.96,1000.04,0.0000,0.00,3841
3.835,13.548,1004490752,957.96,1000.04,0.0000,0.00,3855
3.848,13.059,1004490752,957.96,1000.04,0.0000,0.00,3868
3.862,13.576,1004490752,957.96,1000.04,0.0000,0.00,3881
3.875,13.620,1004490752,957.96,1000.04,0.0000,0.00,3895
3.889,13.164,1004490752,957.96,1000.04,0.0000,0.00,3908
3.903,14.548,1004490752,957.96,1000.04,0.0000,0.00,3923
3.920,17.025,1004490752,957.96,1000.04,0.0000,0.00,3940
3.934,13.665,1004490752,957.96,1000.04,0.0000,0.00,3953
3.947,13.185,1004490752,957.96,1000.04,0.0000,0.00,3967
3.961,13.964,1004490752,957.96,1000.04,0.0000,0.00,3981
3.974,13.042,1004490752,957.96,1000.04,0.0000,0.00,3994
3.989,15.409,1004490752,957.96,1000.04,0.0000,0.00,4009
4.003,13.550,1004490752,957.96,1000.04,0.0000,0.00,4023
4.017,14.422,1004490752,957.96,1000.04,0.0000,0.00,4037
4.031,13.113,1004490752,957.96,999.49,0.0000,0.00,4050
4.045,14.492,1004490752,957.96,999.49,0.0000,0.00,4065
4.061,16.150,1004490752,957.96,999.49,0.0000,0.00,4081
4.075,13.670,1004490752,957.96,999.49,0.0000,0.00,4094
4.088,12.931,1004490752,957.96,999.49,0.0000,0.00,4107
4.102,13.913,1004490752,957.96,999.49,0.0000,0.00,4121
4.115,13.370,1004490752,957.96,999.49,0.0000,0.00,4135
4.130,14.766,1004490752,957.96,999.49,0.0000,0.00,4149
4.144,13.731,1004490752,957.96,999.49,0.0000,0.00,4163
4.158,14.113,1004490752,957.96,999.49,0.0000,0.00,4177
4.172,14.270,1004490752,957.96,999.49,0.0000,0.00,4191
4.185,13.249,1018925056,971.72,999.49,0.0000,0.00,4205
