timestamp,frame_time_ms,memory_bytes,memory_mb,throughput_msg_sec,cache_hit_rate,avg_hop_count,messages_sent,routing_table_ms,mminvoke_ms,routing_table_percent,routing_invocations
21.667,5.825,1134362624,1081.81,499.64,0.0000,0.00,10843,0.000,0.000,0.00,0
21.674,7.702,1134362624,1081.81,499.64,0.0000,0.00,10847,0.000,0.000,0.00,0
21.680,6.017,1134362624,1081.81,499.64,0.0000,0.00,10850,0.000,0.000,0.00,0
21.687,6.607,1134362624,1081.81,499.64,0.0000,0.00,10853,0.000,0.000,0.00,0
21.691,4.224,1134362624,1081.81,499.64,0.0000,0.00,10855,0.000,0.000,0.00,0
21.698,6.554,1134362624,1081.81,499.64,0.0000,0.00,10858,0.000,0.000,0.00,0
21.704,5.959,1134362624,1081.81,499.64,0.0000,0.00,10861,0.000,0.000,0.00,0
21.709,5.270,1134362624,1081.81,499.64,0.0000,0.00,10864,0.000,0.000,0.00,0
21.716,6.664,1134362624,1081.81,499.64,0.0000,0.00,10867,0.000,0.000,0.00,0
21.724,8.212,1134362624,1081.81,499.64,0.0000,0.00,10871,0.000,0.000,0.00,0
21.730,6.768,1134362624,1081.81,499.64,0.0000,0.00,10875,0.000,0.000,0.00,0
21.739,8.480,1134362624,1081.81,499.64,0.0000,0.00,10879,0.000,0.000,0.00,0
21.746,6.579,1134362624,1081.81,499.64,0.0000,0.00,10882,0.000,0.000,0.00,0
21.752,6.281,1134362624,1081.81,499.64,0.0000,0.00,10885,0.000,0.000,0.00,0
21.757,5.514,1134362624,1081.81,499.64,0.0000,0.00,10888,0.000,0.000,0.00,0
21.763,5.734,1134362624,1081.81,499.64,0.0000,0.00,10891,0.000,0.000,0.00,0
21.769,5.756,1134362624,1081.81,499.64,0.0000,0.00,10894,0.000,0.000,0.00,0
21.775,5.975,1134362624,1081.81,499.64,0.0000,0.00,10897,0.000,0.000,0.00,0
21.782,7.462,1134362624,1081.81,499.64,0.0000,0.00,10901,0.000,0.000,0.00,0
21.787,4.674,1134362624,1081.81,499.64,0.0000,0.00,10903,0.000,0.000,0.00,0
21.792,5.233,1134362624,1081.81,499.64,0.0000,0.00,10906,0.000,0.000,0.00,0
